iter	Passed	Remaining
0	60	60334
1	61	30577
2	61	20555
3	62	15541
4	62	12525
5	63	10529
6	64	9105
7	64	8030
8	65	7192
9	65	6513
10	66	5961
11	66	5503
12	67	5117
13	67	4784
14	68	4485
15	68	4227
16	69	3993
17	69	3787
18	69	3602
19	70	3433
20	70	3282
21	70	3145
22	71	3021
23	71	2908
24	71	2802
25	72	2704
26	72	2612
27	72	2528
28	73	2450
29	73	2377
30	73	2308
31	74	2244
32	74	2184
33	74	2126
34	75	2072
35	75	2021
36	75	1974
37	76	1928
38	76	1885
39	76	1843
40	77	1805
41	77	1767
42	77	1731
43	78	1697
44	78	1664
45	78	1636
46	79	1608
47	79	1580
48	80	1554
49	80	1529
50	80	1505
51	81	1483
52	81	1460
53	82	1438
54	82	1416
55	82	1394
56	83	1373
57	83	1352
58	83	1334
59	84	1318
60	84	1300
61	84	1282
62	85	1265
63	85	1250
64	85	1235
65	86	1221
66	86	1206
67	86	1190
68	87	1176
69	87	1163
70	87	1150
71	88	1138
72	88	1126
73	89	1114
74	89	1103
75	89	1092
76	90	1081
77	90	1070
78	90	1060
79	91	1050
80	91	1040
81	92	1031
82	92	1022
83	92	1012
84	93	1002
85	93	994
86	93	983
87	94	975
88	94	968
89	94	960
90	95	953
91	95	945
92	96	938
93	96	932
94	97	925
95	97	919
96	97	912
97	98	905
98	98	899
99	99	893
100	99	887
101	99	879
102	100	873
103	100	868
104	101	863
105	101	858
106	102	852
107	102	846
108	102	841
109	103	835
110	103	829
111	103	824
112	104	819
113	104	814
114	105	809
115	105	804
116	105	799
117	106	794
118	106	789
119	106	784
120	107	779
121	107	774
122	107	768
123	108	764
124	108	760
125	109	756
126	109	751
127	109	746
128	109	742
129	110	738
130	110	734
131	111	730
132	111	727
133	111	723
134	112	719
135	112	716
136	113	712
137	113	707
138	113	703
139	113	700
140	114	696
141	114	692
142	114	689
143	115	685
144	115	681
145	115	678
146	116	675
147	116	671
148	117	668
149	117	664
150	117	661
151	118	658
152	118	655
153	118	652
154	119	648
155	119	645
156	119	642
157	120	639
158	120	636
159	120	633
160	121	630
161	121	627
162	121	624
163	122	622
164	122	619
165	122	616
166	122	613
167	123	610
168	123	608
169	123	605
170	124	602
171	124	600
172	124	597
173	125	594
174	125	592
175	125	589
176	126	586
177	126	584
178	126	582
179	127	579
180	127	576
181	127	573
182	127	571
183	128	568
184	128	566
185	128	563
186	129	561
187	129	559
188	129	556
189	130	554
190	130	552
191	130	549
192	130	547
193	131	545
194	131	543
195	131	540
196	132	538
197	132	536
198	132	534
199	133	532
200	133	529
201	133	527
202	133	525
203	134	523
204	134	521
205	134	519
206	135	517
207	135	515
208	135	513
209	136	511
210	136	509
211	136	507
212	136	505
213	137	504
214	137	502
215	137	500
216	138	498
217	138	496
218	138	494
219	138	492
220	139	490
221	139	488
222	139	487
223	140	485
224	140	483
225	140	481
226	140	479
227	141	478
228	141	476
229	141	474
230	142	472
231	142	471
232	142	469
233	142	467
234	143	466
235	143	464
236	143	462
237	144	461
238	144	459
239	144	458
240	144	456
241	145	454
242	145	453
243	145	451
244	146	450
245	146	448
246	146	446
247	146	445
248	147	443
249	147	442
250	147	440
251	148	439
252	148	438
253	148	436
254	148	435
255	149	433
256	149	432
257	149	430
258	150	429
259	150	427
260	150	426
261	150	425
262	151	423
263	151	422
264	151	420
265	152	419
266	152	418
267	152	417
268	152	415
269	153	414
270	153	413
271	153	411
272	154	410
273	154	409
274	154	407
275	155	406
276	155	405
277	155	404
278	155	402
279	156	401
280	156	400
281	156	399
282	157	397
283	157	396
284	157	395
285	157	394
286	158	393
287	158	391
288	158	390
289	159	389
290	159	388
291	159	387
292	159	385
293	160	384
294	160	383
295	160	382
296	161	381
297	161	380
298	161	379
299	161	377
300	162	376
