iter	Passed	Remaining
0	58	57960
1	58	29134
2	58	19516
3	59	14718
4	59	11821
5	59	9898
6	60	8527
7	60	7491
8	60	6680
9	60	6035
10	61	5508
11	61	5068
12	61	4695
13	62	4375
14	62	4097
15	62	3857
16	63	3644
17	63	3456
18	63	3288
19	64	3137
20	64	2998
21	64	2871
22	64	2755
23	65	2652
24	65	2556
25	65	2466
26	66	2382
27	66	2305
28	66	2233
29	67	2167
30	67	2103
31	67	2047
32	67	1991
33	68	1940
34	68	1891
35	68	1846
36	69	1803
37	69	1760
38	69	1720
39	70	1682
40	70	1646
41	70	1612
42	70	1579
43	71	1548
44	71	1518
45	71	1490
46	72	1463
47	72	1438
48	72	1412
49	73	1389
50	73	1366
51	73	1345
52	74	1325
53	74	1304
54	74	1285
55	75	1265
56	75	1246
57	75	1228
58	75	1210
59	76	1193
60	76	1176
61	76	1161
62	77	1145
63	77	1131
64	77	1117
65	78	1103
66	78	1090
67	78	1077
68	78	1064
69	79	1052
70	79	1039
71	79	1028
72	80	1016
73	80	1005
74	80	994
75	80	984
76	81	974
77	81	964
78	81	954
79	82	944
80	82	935
81	82	926
82	82	915
83	83	907
84	83	898
85	83	890
86	84	882
87	84	874
88	84	866
89	84	859
90	85	851
91	85	844
92	85	837
93	86	830
94	86	823
95	86	817
96	87	810
97	87	804
98	87	797
99	87	791
100	88	785
101	88	779
102	88	773
103	89	768
104	89	762
105	89	757
106	90	752
107	90	746
108	91	746
109	91	741
110	91	736
111	92	730
112	92	725
113	92	720
114	93	716
115	93	711
116	93	705
117	93	701
118	94	696
119	94	692
120	94	687
121	94	682
122	95	678
123	95	674
124	95	670
125	96	666
126	96	662
127	96	658
128	96	654
129	97	650
130	97	646
131	97	642
132	98	639
133	98	636
134	98	632
135	99	629
136	99	625
137	99	622
138	99	619
139	100	616
140	100	612
141	100	608
142	101	605
143	101	602
144	101	599
145	101	596
146	102	592
147	102	590
148	102	587
149	103	584
150	103	581
151	103	579
152	104	576
153	104	573
154	104	570
155	104	567
156	105	565
157	105	562
158	105	559
159	106	556
160	106	553
161	106	551
162	106	548
163	107	546
164	107	543
165	107	541
166	108	539
167	108	536
168	108	534
169	109	532
170	109	529
171	109	527
172	109	525
173	110	523
174	110	520
175	110	518
176	110	515
177	111	513
178	111	511
179	111	509
180	112	507
181	112	505
182	112	503
183	113	501
184	113	499
185	113	497
186	113	495
187	114	493
188	114	491
189	114	489
190	115	487
191	115	485
192	115	483
193	115	481
194	116	479
195	116	477
196	116	476
197	117	474
198	117	472
199	117	470
200	118	469
201	118	467
202	118	465
203	118	463
204	119	462
205	119	460
206	119	458
207	120	457
208	120	455
209	120	454
210	120	452
211	121	450
212	121	449
213	121	447
214	122	445
215	122	444
216	122	442
217	122	440
218	123	439
219	123	437
220	123	435
221	123	434
222	124	432
223	124	431
224	124	429
225	125	428
226	125	426
227	125	425
228	125	423
229	126	422
230	126	421
231	126	419
232	127	418
233	127	417
234	127	415
235	128	414
236	128	413
237	128	411
238	128	410
239	129	409
240	129	407
241	129	406
242	130	404
243	130	403
244	130	402
245	130	401
246	131	400
247	131	398
248	131	397
249	132	396
250	132	394
251	132	393
252	132	392
253	133	391
254	133	390
255	133	388
256	134	387
257	134	386
258	134	385
259	135	384
260	135	383
261	135	382
262	136	381
263	136	380
264	136	379
265	137	378
266	137	377
267	137	376
268	137	374
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	139	368
275	140	367
276	140	366
277	140	365
278	141	364
279	141	363
280	141	362
281	142	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	355
288	144	354
289	144	353
290	144	352
291	145	351
292	145	351
293	145	350
294	146	349
295	146	348
296	146	347
297	147	346
298	147	345
299	147	344
300	147	343
301	148	342
302	148	341
303	148	340
304	149	339
305	149	338
306	149	337
307	150	337
308	150	336
309	150	335
310	150	334
311	151	333
312	151	332
313	151	331
314	152	331
315	152	330
316	152	329
317	153	328
318	153	327
319	153	326
320	153	325
321	154	324
322	154	323
323	154	322
324	154	321
325	155	320
326	155	320
327	155	319
328	156	318
329	156	317
330	156	316
331	156	315
332	157	314
333	157	314
334	157	313
335	158	312
336	158	311
337	158	310
338	158	309
339	159	309
340	159	308
341	159	307
342	160	306
343	160	305
344	160	304
345	160	304
346	161	303
347	161	302
348	161	301
349	161	300
350	162	299
351	162	299
352	162	298
353	163	297
354	163	296
355	163	296
356	163	295
357	164	294
358	164	293
359	164	293
360	165	292
361	165	291
362	165	291
363	166	290
364	166	289
365	166	288
366	166	288
367	167	287
368	167	286
369	167	285
370	168	285
371	168	284
372	168	283
373	168	282
374	169	282
375	169	281
376	169	280
377	169	279
378	170	278
379	170	278
380	170	277
381	170	276
